"rt","responses","trial_index","time_elapsed","ID","lang","leftIsUp","screenX","screenY","innerX","innerY","version","raw_FPS","estimated_FPS","success","key","dir","modality","actual_cross_pt","actual_graph_pt","untrust_graph_pt","nbOfFrames","correct","current_streak","longest_streak","current_bonus","total_score","steepness","number_points","standard_deviation","loop_number","button_pressed","finished","1Q0","1Q1","1Q2","1Q3","1Q4","T_test","Pearson_R","OLS_slope"
2284.5,"",32,390717,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",996.801000000036,100.756999999983,96.9000000000233,6,TRUE,1,6,0,65,-0.1875,18,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-3.09106792150313,-0.611467173616586,-0.155064443361387
1289.89999999997,"",33,394050,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",999.026000000013,99.4459999999963,95.3999999999069,6,FALSE,0,6,0,65,0.0625,66,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",1.39927500730882,0.172293714848599,0.0815459180054657
2017.8000000001,"",34,398103,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.696999999986,99.8610000000335,98.5999999999767,6,TRUE,1,6,0,65,0.1875,66,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",5.79009983128352,0.5863102708929,0.257869623237627
1759.29999999993,"",35,401889,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.607000000018,99.7999999999884,98.5000000000582,6,TRUE,2,6,1,66,0.125,66,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",1.12194246909556,0.138883673779056,0.104974673884677
2726.30000000005,"",36,406653,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.045999999973,100.239000000001,96.9000000000233,6,TRUE,3,6,1,67,0.1875,6,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",0.84356448009364,0.388627948940786,0.24623869576465
2069.20000000019,"",37,410758,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",999.685999999987,98.0300000000279,93.8000000001048,6,TRUE,4,6,1,68,0,66,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-1.02169183507808,-0.126682547705211,-0.0204965937690605
2015.8000000001,"",38,414816,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.749000000011,99.6059999999707,94.7000000000698,6,TRUE,5,6,1,69,0,66,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",1.48258792006815,0.182220738901506,0.0505984139233533
1380.20000000007,"",39,418240,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.368000000017,99.869000000006,96.1999999999534,6,FALSE,0,6,0,69,-0.125,38,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-3.01070815741027,-0.448489250333812,-0.155108765039421
1549.3000000001,"",40,421819,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",997.245999999985,101.040999999968,96.7000000000698,6,FALSE,0,6,0,69,-0.1875,66,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-8.90434835033773,-0.743871827497668,-0.172891788042239
1990.40000000014,"",41,425838,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.10500000004,99.9270000000251,96.0999999999767,6,TRUE,1,6,0,69,0,18,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",0.756745477602449,0.18588899320388,0.0799625042945281
